pm10,pm2_5,co,no2,o3,so2
63.0,72.0,2.8,5.1,47.6,4.1
66.0,147.0,6.4,6.9,72.1,3.1
45.0,82.0,2.8,6.0,55.8,3.6
62.0,99.0,2.8,5.5,51.7,5.1
87.0,91.0,3.7,8.3,47.6,3.1
30.0,25.0,3.7,6.0,27.0,2.1
30.0,25.0,3.7,6.0,27.0,2.1
15.0,25.0,1.9,4.6,60.95,4.1
82.0,162.0,10.9,18.8,94.9,6.1
58.0,65.0,2.8,3.7,60.25,3.1
30.0,80.0,4.6,7.4,25.6,4.6
30.0,89.0,4.6,8.7,30.7,3.1
25.0,65.0,2.8,1.9,35.8,2.1
63.0,80.0,4.6,7.4,40.53333333333333,5.1
50.0,95.0,5.5,11.9,45.266666666666666,9.7
42.0,53.0,0.1,2.3,50.0,4.1
20.0,13.0,1.9,2.3,41.1,1.1
50.0,114.0,8.2,7.4,35.0,6.1
53.0,114.0,7.3,20.2,38.63333333333333,2.1
20.0,61.0,4.6,6.9,42.266666666666666,2.1
25.0,50.0,0.1,4.2,45.9,3.6
38.0,78.0,5.5,12.8,41.5,3.6
20.0,61.0,6.4,6.4,30.9,2.6
17.0,55.0,4.6,13.3,30.9,3.1
63.0,124.0,6.4,4.6,31.22,4.6
52.0,59.0,4.6,4.2,31.54,3.1
30.0,50.0,2.8,4.6,31.86,3.6
66.0,30.0,1.9,2.3,32.18,2.1
76.0,122.0,10.0,7.8,32.5,5.6
61.0,50.0,3.7,3.7,17.1,4.1
106.0,171.0,0.1,25.6,1.7,6.1
54.0,50.0,4.6,4.6,10.6,4.1
30.0,55.0,3.7,8.3,19.5,4.1
55.0,30.0,2.8,2.3,41.9,1.6
18.0,30.0,0.1,4.6,43.5,3.6
75.0,157.0,8.2,6.9,30.7,8.2
61.0,109.0,6.4,16.0,17.9,3.1
26.0,30.0,3.7,6.0,41.5,1.1
34.0,65.0,3.7,8.3,9.8,3.6
29.0,63.0,2.8,5.5,10.0,3.1
63.0,151.0,10.0,18.3,10.2,4.6
38.0,76.0,6.4,3.7,17.5,3.1
57.0,76.0,1.9,4.2,24.8,2.6
