pm10,pm2_5,co,no2,o3,so2
61.0,109.0,6.4,16.0,17.9,3.1
26.0,30.0,3.7,6.0,41.5,1.1
34.0,65.0,3.7,8.3,9.8,3.6
29.0,63.0,2.8,5.5,30.707052960621994,3.1
63.0,151.0,10.0,18.3,10.2,4.6
38.0,76.0,6.4,3.7,30.067421721001217,3.1
57.0,76.0,1.9,4.2,24.8,2.6
31.933793441006483,63.0,4.923261712544534,15.407770465066095,27.3598692331431,3.7084650887013897
73.0,159.0,8.2,10.6,8.2,6.1
49.0,57.0,3.7,6.4,29.25379800829637,5.6
40.0,89.0,6.4,6.9,2.0,5.1
26.0,78.0,5.5,7.4,34.86874662793219,4.6
50.0,68.0,5.5,5.5,3.7,6.6
25.0,61.0,0.1,1.4,42.3,2.6
80.0,89.0,4.6,5.1,29.71525917381397,4.6
61.0,87.0,4.6,7.4,49.6,3.1
61.0,139.0,5.5,9.6,34.2,4.6
19.647087369967714,29.02397838882942,0.7,0.6,25.316704192091798,2.2
40.09167850464412,80.0,5.805082422582093,19.09130298237981,30.144067661732983,4.6553371882446015
29.054539889134375,57.0,4.612030873707744,14.107700164837725,26.377210964229025,3.374274935921431
76.56222349502418,156.0,9.747339714514709,35.558860118605836,42.591072401311266,8.888412456790729
30.974042257049113,61.0,4.819518099598936,14.974413698323305,27.03231647683841,3.5970683711080698
53.0,59.0,14.0,31.0,59.9627921130119,32.0
7.0,21.295699153364023,18.173129441860425,3.7,27.799957367404367,11.7
47.28981238432441,95.0,6.5831595196740516,22.341478732950733,32.60071333401817,5.490812570194492
61.0,62.0,16.1,19.9,6.3,3.0
21.0,35.067352255294246,2.224802171286603,11.15889062424008,8.0,1.0
33.0,50.09718717732327,3.0,12.0,7.0,2.1424930853130904
63.0,53.0,0.1,8.3,23.17258247438516,2.6
35.29292258485727,70.0,5.2863643578541115,16.92451914866586,28.506303880209522,4.098353600278003
68.0,78.0,-0.06584824905242792,2.8,37.8,4.6
3.6211335142640664,4.0,1.862825130649469,2.62374584615379,17.697062922154693,0.42226191969847315
37.212424952772025,74.0,5.493851583745303,17.79123268215144,29.161409392818904,4.321147035464644
23.0,64.0,6.5,6.0,9.3,2.6
28.0,68.0,2.2,16.2,1.6,0.21763365457346628
29.0,56.0,12.011585972576228,19.6,33.1,8.8
29.0,56.0,12.011585972576228,19.6,33.1,8.8
13.0,31.0,3.4,8.39059736169117,29.95400444406874,6.3
36.73254936079333,73.0,5.441979777272507,17.574554298780047,28.997633014666555,4.265448676667983
45.70677980136635,53.0,11.0,19.0,41.286990225802356,18.0
27.0,43.0,12.660158684232176,65.0,15.079402577275117,9.0
28.170751981057112,42.0,6.0,31.0,25.757226774246526,8.0
52.0,72.0,2.768450965343523,16.17531049500451,28.906617481953084,4.500189804469255
23.0,45.0,0.1,33.5,13.4,0.6
20.0,27.0,1.2,1.0,19.2,1.0530749524102627
11.0,38.0,1.5,3.8,8.0,0.8
9.0,13.0,2.2223210978083254,4.5045974104427335,19.191820188887068,0.9826822196889404
23.0,48.0,3.92144342746868,6.4,26.11733629252509,2.5336571699627015
23.0,8.0,2.1,3.7,18.715535848648347,2.643865067758343
14.345846322262998,26.490759463830475,2.325480289514548,9.097876466292906,9.4,0.6714556010452313
4.0,15.0,3.7,2.9,4.6,0.3
1.0,5.0,2.4985343697236364,3.083407034601507,17.862027500869747,0.4594655742688727
10.0,15.0,1.0692753019965282,1.0,11.0,-0.10502828749340654
76.0,186.0,3.7,173.0,5.4,4.2
14.0,25.473253532736223,2.8,1.9,22.390339853895142,1.5119802989680813
16.0,18.0,0.1,10.6,19.9,1.1
14.0,25.473253532736223,2.8,1.9,22.390339853895142,1.5119802989680813
11.708109463469825,15.0,6.4,3.7,21.0,5.1
