pm10,pm2_5,co,no2,o3,so2
20.0,13.0,1.9,2.3,41.1,1.1
50.0,114.0,8.2,7.4,35.0,6.1
53.0,114.0,7.3,20.2,26.78,2.1
20.0,61.0,4.6,6.9,13.1,2.1
25.0,50.0,0.1,4.2,45.9,3.6
38.0,78.0,5.5,12.8,41.5,3.6
20.0,61.0,6.4,6.4,30.9,2.6
17.0,55.0,4.6,13.3,30.9,3.1
63.0,124.0,6.4,4.6,19.2,4.6
52.0,59.0,4.6,4.2,18.72,3.1
30.0,50.0,2.8,4.6,16.12,3.6
66.0,30.0,1.9,2.3,20.18,2.1
76.0,122.0,10.0,7.8,32.5,5.6
61.0,50.0,3.7,3.7,17.44,4.1
106.0,171.0,0.1,25.6,1.7,6.1
54.0,50.0,4.6,4.6,17.440000000000005,4.1
30.0,55.0,3.7,8.3,19.5,4.1
55.0,30.0,2.8,2.3,41.9,1.6
18.0,30.0,0.1,4.6,43.5,3.6
75.0,157.0,8.2,6.9,16.84,8.2
61.0,109.0,6.4,16.0,17.9,3.1
26.0,30.0,3.7,6.0,41.5,1.1
34.0,65.0,3.7,8.3,9.8,3.6
29.0,63.0,2.8,5.5,20.8,3.1
63.0,151.0,10.0,18.3,10.2,4.6
38.0,76.0,6.4,3.7,18.880000000000003,3.1
57.0,76.0,1.9,4.2,24.8,2.6
23.4,63.0,3.4599999999999995,13.040000000000001,29.02,1.4599999999999997
73.0,159.0,8.2,10.6,8.2,6.1
49.0,57.0,3.7,6.4,17.02,5.6
40.0,89.0,6.4,6.9,2.0,5.1
26.0,78.0,5.5,7.4,14.060000000000002,4.6
50.0,68.0,5.5,5.5,3.7,6.6
25.0,61.0,0.1,1.4,42.3,2.6
80.0,89.0,4.6,5.1,29.919999999999998,4.6
61.0,87.0,4.6,7.4,49.6,3.1
61.0,139.0,5.5,9.6,34.2,4.6
10.6,8.0,0.7,0.6,18.499999999999996,2.2
37.8,80.0,5.14,9.1,41.17999999999999,4.4
20.4,57.0,2.78,4.380000000000001,35.2,2.44
84.6,156.0,6.919999999999999,10.040000000000001,51.3,6.82
18.8,61.0,2.8,9.72,35.86,4.359999999999999
53.0,59.0,14.0,31.0,13.139999999999997,32.0
7.0,25.4,2.0,3.7,15.86,11.7
89.6,95.0,3.06,4.700000000000001,11.6,11.9
61.0,62.0,16.1,19.9,6.3,3.0
21.0,26.8,2.76,8.3,8.0,1.0
33.0,35.8,3.0,12.0,7.0,7.1
63.0,53.0,0.1,8.3,16.22,2.6
36.6,70.0,3.38,13.180000000000001,11.14,2.6399999999999997
68.0,78.0,2.4400000000000004,2.8,37.8,4.6
3.0,4.0,0.76,4.16,15.440000000000001,0.8800000000000001
18.8,74.0,7.0200000000000005,40.54,17.020000000000003,2.4400000000000004
23.0,64.0,6.5,6.0,9.3,2.6
28.0,68.0,2.2,16.2,1.6,10.92
29.0,56.0,0.1,19.6,33.1,8.8
29.0,56.0,0.1,19.6,33.1,8.8
13.0,31.0,3.4,1.9,15.540000000000001,6.3
42.6,73.0,4.3,20.68,29.959999999999997,3.6399999999999997
20.2,53.0,11.0,19.0,16.98,18.0
27.0,43.0,1.1199999999999999,65.0,15.6,9.0
19.8,42.0,6.0,31.0,21.12,8.0
52.0,72.0,6.359999999999999,17.82,32.62,3.6400000000000006
23.0,45.0,0.1,33.5,13.4,0.6
20.0,27.0,1.2,1.0,19.2,1.06
11.0,38.0,1.5,3.8,8.0,0.8
9.0,13.0,3.7599999999999993,3.8,22.900000000000002,0.54
23.0,48.0,1.06,6.4,19.28,0.5
23.0,8.0,2.1,3.7,22.9,0.26
22.0,57.2,6.5,6.0,9.4,2.6
