pm10,pm2_5,co,no2,o3,so2
55.0,30.0,2.8,2.3,41.9,1.6
18.0,30.0,0.1,4.6,43.5,3.6
75.0,157.0,8.2,6.9,21.6,8.2
61.0,109.0,6.4,16.0,17.9,3.1
26.0,30.0,3.7,6.0,41.5,1.1
34.0,65.0,3.7,8.3,9.8,3.6
29.0,63.0,2.8,5.5,21.6,3.1
63.0,151.0,10.0,18.3,10.2,4.6
38.0,76.0,6.4,3.7,21.6,3.1
57.0,76.0,1.9,4.2,24.8,2.6
16.0,63.0,2.3,6.5,21.6,1.5
73.0,159.0,8.2,10.6,8.2,6.1
49.0,57.0,3.7,6.4,21.6,5.6
40.0,89.0,6.4,6.9,2.0,5.1
26.0,78.0,5.5,7.4,21.6,4.6
50.0,68.0,5.5,5.5,3.7,6.6
25.0,61.0,0.1,1.4,42.3,2.6
80.0,89.0,4.6,5.1,21.6,4.6
61.0,87.0,4.6,7.4,49.6,3.1
61.0,139.0,5.5,9.6,34.2,4.6
16.0,30.0,0.7,0.6,21.6,2.2
16.0,80.0,2.3,6.5,21.6,1.5
16.0,57.0,2.3,6.5,21.6,1.5
16.0,156.0,2.3,6.5,21.6,1.5
16.0,61.0,2.3,6.5,21.6,1.5
53.0,59.0,14.0,31.0,21.6,32.0
7.0,30.0,2.3,3.7,21.6,11.7
16.0,95.0,2.3,6.5,21.6,1.5
61.0,62.0,16.1,19.9,6.3,3.0
21.0,30.0,2.3,6.5,8.0,1.0
33.0,30.0,3.0,12.0,7.0,1.5
63.0,53.0,0.1,8.3,21.6,2.6
16.0,70.0,2.3,6.5,21.6,1.5
68.0,78.0,2.3,2.8,37.8,4.6
16.0,4.0,2.3,6.5,21.6,1.5
16.0,74.0,2.3,6.5,21.6,1.5
23.0,64.0,6.5,6.0,9.3,2.6
28.0,68.0,2.2,16.2,1.6,1.5
29.0,56.0,2.3,19.6,33.1,8.8
29.0,56.0,2.3,19.6,33.1,8.8
13.0,31.0,3.4,6.5,21.6,6.3
16.0,73.0,2.3,6.5,21.6,1.5
16.0,53.0,11.0,19.0,21.6,18.0
27.0,43.0,2.3,65.0,21.6,9.0
16.0,42.0,6.0,31.0,21.6,8.0
52.0,72.0,2.3,6.5,21.6,1.5
23.0,45.0,0.1,33.5,13.4,0.6
20.0,27.0,1.2,1.0,19.2,1.5
11.0,38.0,1.5,3.8,8.0,0.8
9.0,13.0,2.3,6.5,21.6,1.5
23.0,48.0,2.3,6.4,21.6,1.5
23.0,8.0,2.1,3.7,21.6,1.5
16.0,30.0,2.3,6.5,9.4,1.5
4.0,15.0,3.7,2.9,4.6,0.3
1.0,5.0,2.3,6.5,21.6,1.5
10.0,15.0,2.3,1.0,11.0,1.5
